basin,date,longwave_radiation,potential_energy,potential_evaporation,pressure,shortwave_radiation,specific_humidity,temperature,total_precipitation,wind_u,wind_v,qobs_mm_per_hour,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,gauge_lat,gauge_lon,elev_mean,slope_mean,area_gages2,area_geospa_fabric,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99
08178880,1/1/2005 0:00,331.56604,14.244372,0.2879519,95618.45,0,0.010157138,18.664978,0,-1.6486193,4.298048,0.015366375,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 1:00,331.56583,9.645018,0.029872421,95551.1,0,0.010148048,18.198483,0,-2.0674672,4.4130006,0.015366375,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 2:00,331.56952,5.0487475,0.029872421,95483.92,0,0.010138985,17.733032,0,-2.4828753,4.523646,0.015366375,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 3:00,348.38947,0.45012328,0.029872421,95416.805,0,0.010129953,17.271852,0,-2.9013796,4.6392007,0.015186301,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 4:00,348.39133,3.4538152,0.035447735,95472.86,0,0.010232765,16.965666,0,-2.712933,4.869763,0.015126275,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 5:00,348.39142,6.4559913,0.035447735,95528.79,0,0.010335647,16.658377,0,-2.5238762,5.0995183,0.015126275,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 6:00,370.9803,9.459519,0.035447735,95584.85,0,0.010438508,16.352848,0,-2.3343868,5.3298893,0.01506625,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 7:00,370.98074,12.7878475,0.026561476,95581.06,0,0.010523289,16.071814,0,-2.3802264,5.0039034,0.015126275,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 8:00,370.98074,16.131344,0.026561476,95577.125,0,0.010608055,15.794056,0,-2.426761,4.6771727,0.015126275,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 9:00,362.79385,19.45952,0.026561476,95573.234,0,0.010692808,15.513195,0,-2.4699442,4.3477197,0.015126275,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
08178880,1/1/2005 10:00,362.79385,16.714191,0.000622395,95568.06,0,0.010693719,15.272164,0,-2.3443952,4.009635,0.015126275,Carbonate sedimentary rocks,0.984755694,Unconsolidated sediments,0.015244306,0.984755694,0.0624,-11.8183,2.475806982,3.382485421,0.297780119,0.003044935,1.366215317,24.1,1.389048991,301.1,8.566145092,1.42442357,0.870718951,0.455323666,0.56624393,0.22195276,10.07124941,14.58753309,23.69201092,0,0,51.59868846,29.72384,-99.07004,542.56,19.49002,850.58,851.56,0.4391,1.550799227,0.977153952,0.530201148,0.188921802,0.636206845,    Woody Savannas,0.145448274,1.627241369
